2022-03-16 09:58:43,475 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:48,535 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:53,584 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:58,644 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:03,704 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:08,762 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:13,827 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:18,881 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:23,930 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:28,989 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:34,050 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:39,102 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:44,162 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:49,219 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:54,268 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:59,321 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:04,380 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:09,445 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:14,490 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:19,636 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:24,650 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:29,712 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:34,766 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:39,826 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:44,885 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:49,931 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:54,998 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:00,044 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:05,095 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:10,155 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:15,216 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:20,271 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:25,328 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:30,389 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:35,434 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:40,500 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:45,559 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:50,610 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:55,703 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:00,755 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:05,824 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:10,871 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:15,934 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:21,004 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:26,058 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:31,109 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:36,169 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:41,232 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:46,289 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:51,345 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:02:56,397 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:01,442 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:06,510 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:11,566 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:16,631 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:21,673 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:26,757 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:31,806 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:36,866 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:41,914 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:46,974 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:52,033 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:03:57,099 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:02,156 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:07,214 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:12,264 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:17,319 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:22,377 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:27,428 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:32,486 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:37,549 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:42,609 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:47,653 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:52,724 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:04:57,776 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:02,839 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:07,896 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:12,954 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:18,010 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:23,067 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:28,125 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:33,183 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:38,262 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:43,319 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:48,385 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:53,449 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:05:58,502 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:03,558 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:08,612 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:13,678 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:18,734 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:23,789 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:28,850 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:33,947 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:38,920 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:43,970 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:49,029 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
